Year,Month,Anomaly
1961,8,15.836
1961,9,15.272
1961,10,14.301
1961,11,13.304
1961,12,12.432
1962,1,12.351
1962,2,12.613
1962,3,13.239
1962,4,14.082
1962,5,14.895
1962,6,15.729
1962,7,15.917
1962,8,15.755
1962,9,15.144
1962,10,14.269
1962,11,13.286
1962,12,12.555
1963,1,12.29
1963,2,12.619
1963,3,12.887
1963,4,13.968
1963,5,14.922
1963,6,15.695
1963,7,16.056
1963,8,16.076
1963,9,15.413
1963,10,14.443
1963,11,13.388
1963,12,12.585
1964,1,12.206
1964,2,12.371
1964,3,12.815
1964,4,13.695
1964,5,14.732
1964,6,15.676
1964,7,15.895
1964,8,15.537
1964,9,14.891
1964,10,14.014
1964,11,13.024
1964,12,12.312
1965,1,12.254
1965,2,12.33
1965,3,12.931
1965,4,13.847
1965,5,14.932
1965,6,15.622
1965,7,15.835
1965,8,15.76
1965,9,15.033
1965,10,14.29
1965,11,13.215
1965,12,12.544
1966,1,12.135
1966,2,12.457
1966,3,13.052
1966,4,14.015
1966,5,14.914
1966,6,15.722
1966,7,16.087
1966,8,15.781
1966,9,15.238
1966,10,14.145
1966,11,13.249
1966,12,12.543
1967,1,12.199
1967,2,12.27
1967,3,13.155
1967,4,14.041
1967,5,15.222
1967,6,15.716
1967,7,16.015
1967,8,15.821
1967,9,15.199
1967,10,14.351
1967,11,13.178
1967,12,12.537
1968,1,12.089
1968,2,12.345
1968,3,13.219
1968,4,13.988
1968,5,14.891
1968,6,15.648
1968,7,15.807
1968,8,15.704
1968,9,15.01
1968,10,14.385
1968,11,13.195
1968,12,12.495
1969,1,12.251
1969,2,12.385
1969,3,13.074
1969,4,14.207
1969,5,15.243
1969,6,15.836
1969,7,15.905
1969,8,15.822
1969,9,15.269
1969,10,14.381
1969,11,13.356
1969,12,12.837
1970,1,12.432
1970,2,12.665
1970,3,13.135
1970,4,14.102
1970,5,15.015
1970,6,15.679
1970,7,15.958
1970,8,15.723
1970,9,15.32
1970,10,14.325
1970,11,13.21
1970,12,12.438
1971,1,12.234
1971,2,12.292
1971,3,12.878
1971,4,13.957
1971,5,14.942
1971,6,15.591
1971,7,15.882
1971,8,15.741
1971,9,15.185
1971,10,14.242
1971,11,13.19
1971,12,12.429
1972,1,12.028
1972,2,12.294
1972,3,13.105
1972,4,14.047
1972,5,15.065
1972,6,15.763
1972,7,15.958
1972,8,15.997
1972,9,15.252
1972,10,14.32
1972,11,13.275
1972,12,12.786
1973,1,12.537
1973,2,12.763
1973,3,13.303
1973,4,14.337
1973,5,15.276
1973,6,15.897
1973,7,16.046
1973,8,15.872
1973,9,15.267
1973,10,14.384
1973,11,13.301
1973,12,12.554
1974,1,12.135
1974,2,12.199
1974,3,12.988
1974,4,13.969
1974,5,14.986
1974,6,15.718
1974,7,15.944
1974,8,16.001
1974,9,15.193
1974,10,14.261
1974,11,13.204
1974,12,12.481
1975,1,12.343
1975,2,12.63
1975,3,13.257
1975,4,14.142
1975,5,15.22
1975,6,15.757
